Course,Campus,Term,Section,Invited,Responded,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Q9 mean,Q10 mean,Q11 mean,Median1,Median2,Median3,Median4,Median5,Median6,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,StdDev1,StdDev2,StdDev3,StdDev4,StdDev5,StdDev6,A2,C2,D2,D4,E1,E2,E3,Comment for Q7,Comment for Q8
Labour Issues,UTSC,Winter_2018,LEC01,12,7,3.5,3.8,4.3,3.8,4.2,3.8,3.7,3.7,3.5,3.5,4,5,4,4.5,3.5,"3,4",5,5,5,5,3,1,1.3,1,1.3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'The professor provided us opportunities to simulate actual union negotiation and it was really helpful for us tounderstand the course materials. I found the final and the group project are not strongly related to our course materials.Though the project was really interesting and it was a real life case, but I did not find it strongly related to our coursematerials (ie, unions). In addition, many questions in the final exam were framed under situations rather than unionsettings, though they share similarities, but I think it would be better if the questions are actually created under a unioncontext.good activities in class8. Please comment on any assistance that was available to support your learning in thiscourse.'","b'CommentsIt was great that we have receive written feedback for both assignments and final, but it would be better that if we couldget more specific feedback on our assignments.Intro to Industrial Relations Labour Issues-S-LEC01-Phanikiran Radhakrishnan-4/6/20184/15   '"
Leadership Skills,UTSC,Winter_2018,LEC01,39,11,3.5,3.6,4,3.7,3.6,3.6,3.3,3.1,3.5,4,3,4,4,4,4,4,"3,5",5,4,4,4,1,1.2,1.1,1.1,1.2,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""One of the nicest professor I have ever met! She was always very friendly and always tried her best answering anyquestions that I had. Her way of teaching was great and explained all the concepts of the course very well.GreatThe quality of instruction is fine, it is a bit strange that she will often explain a concept partially, tell us to discuss in ourgroups, then interrupt to explain the next part, which means students are talking over her and we can't hear her OR eachother. I think many things are explained in WAY too much detail that is completely unnecessary knowledge for themanagement co\xe2\x80\x93op program. We already learned about concepts like the dimensions of personality in organizationalbehaviour, I don't see why we have to relearn it. There are certain topics such as salary negotiation which are taughtfrom a managerial perspective which doesn't really make sense at this stage\xe2\x80\x93 we're being taught why employeeswould negotiate certain things and how to deal with that, but we have never learned how to deal with salary negotiationfrom the employee perspective (ie. in a practical way so we can actually employ this knowledge when we go out and getour first jobs. Why am I learning how to be a manager at this stage? I can't even get an entry\xe2\x80\x93level job). Either way,(continuing with the topic of salary negotiation but this applies to other topics as well) the teaching focuses on thetheory rather than practical applications and strategies. I feel like this course focuses so much on forcing us to readacademic papers and psychological studies rather than teaching us real\xe2\x80\x93life skills, which is ultimately pointless foranyone that isn't pursuing academia. The role plays in this class kind of steer it into a more practical direction, but Idon't think it's quite there because the teaching focuses too much on theory rather than application so it doesn't reallyhelp us do the role play as well as it could.Other than the above, there are some small things I feel aren't conducive to learning. Assignments are excessivelystructured. Why should a 2.5 page paper have 5 pages of instructions on what to include? As well, why are we notallowed to screenshot graphs presented in papers to use in our presentations, but have to recreate them ourselves?Class discussion and activities were beneficial to my learning.Assignments are repetitive and graded inconsistently. Course assignments were made unnecessarily hard.Overall, the quality of the teaching is really good, esp with the role plays.\xe2\x80\x93 Awesome course, professor is willing to help you and the class enviornment is active.\xe2\x80\x93 Fittable class sizeThe types of tasks done in class were very helpful and engaging to learn about the content.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b""CommentsThe professor always answer any one of my questions. She always made sure her students understood what wasgoing on in class. Anytime I needed help, I could always visit her office hours and she'd even spend time outside ofclass to help me!NoOffice hours and in\xe2\x80\x93class clarification.TA did not provide any assistance.Role Plays, Sample Final Questions\xe2\x80\x93 Professor\xe2\x80\x99s office hours\xe2\x80\x93 Weboption lecturecastProfessor was available when needed and was able to accommodate our schedule for the group projectManagement Skills Leadership Skills-S-LEC01-Phanikiran Radhakrishnan-4/6/20184/15   """
Leadership Skills,UTSC,Winter_2019,LEC01,41,12,3.1,3.5,3.5,3.1,3.3,3,2.8,3.3,3,3,4,4,3,3,3,"2,5",2,"2,4,5",4,"3,4",3,1.6,1.3,1.2,1.4,1.3,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""The professor was very enthusiastic in the material, and provided a variety of creative ways for us to better understand the content inlectures through role plays, assignments, and journals.I felt the instruction went off\xe2\x80\x93topic several times and it was difficult to pinpoint what I was supposed to focus on and what I'msupposed to takeaway from the course. There was a larger focus on research techniques and I wasn't sure if that's the mostimportant skill I need to know for a management position.At times, seemed rushed or disorganizedGreat teacher and great classI really enjoyed the class activities and the role plays we did in class (ex: negotiation, learning how to be an effective manager etc.)The prof seemed more interested in telling students about her accomplishments. Using the final assignment for your own furtherresearch does not seem ethical. Telling students they must sign a form releasing their research to you should not be required\xcd\xbe it's achoice, not a must and that is why I refused to sign. I believe the overall quality of the class was poor as the prof does not seem tocare about learning and is interested in having a class of students to fill out her weekly surveys that contribute to her currentresearch. I do not understand why this is a required course among the many courses offered at UTSC that may ACTUALLY benefit amanagement student.8. Please comment on any assistance that was available to support your learning in this course.Comments""","b'The professor was readily available through email, office hours, and frequently made herself available for live chats duringassignment periods. Overall, plenty of support was provided in and outside of class.Lecture notes'"
Leadership Skills,UTSC,Winter_2013,LEC05,46,5,4,4,4.8,4,4,3.8,3.8,3.8,4,4,4,5,4,4,3.5,4,4,5,4,4,3,0.8,0.8,0.5,0.8,0.8,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'it is not really a continuous course to MGTB908. Please comment on any assistance that was available to support your learning inthis course.',b'Commentprofessor'
Leadership Skills,UTSC,Winter_2014,LEC01,39,11,3.4,3.2,4.1,3.5,3.4,3.4,3.6,3.3,3.2,4,3.5,4,4,3,3,4,4,5,4,3,3,1.1,1.2,0.9,1.3,1.1,0.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'EXCELLENT IN THE BEGINNING8. Please comment on any assistance that was available to support your learning inthis course.',b'CommentFINANCE LAB'
Leadership Skills,UTSC,Winter_2017,LEC04,36,12,3.1,3.2,3.8,2.9,2.8,3.3,3.3,3.3,3.1,3,3,3.5,3,2.5,3,3,3,"3,5","1,4","2,",3,1.2,1.3,1.3,1.5,,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""This course is a vague course and aims to teach students the intangible aspects of management in a very methodicalmanner with no grounds for creative expression and or problem solving.There was a clear communication between the professor and the student which I really like.Final assingment needs to take out part 4 and 5. They are the same as 3 (opposing and supporting studies) - it isconfusing, maybe revise or throw outIt was informative but the role plays in class weren't as involving as they could've been.The course materials are useful, but the assignments are very boring and is not intellectually stimulating. Managementskills should be taught in a way that the students can see the practicality and applicability. For a course about skills tobe applied, the teaching style was too theory-based. Reading about research and studies that dwells into variables andcorrelation with the use of statistic did not show me why and how I should apply these skills. I think the instructorshould redesign the two assignments because they are boring and impractical.Professor really cares about the material but I found the set up of the course to be a hindrance (changing classrooms,emphasis on participation) I also found that students were not provided enough time to work on the group assignment,which made it very difficult to complete the assignment to the best of our ability8. Please comment on any assistance that was available to support your learning in thiscourse.""",b'CommentNone neededAsssitance was available. Diana and the Prof were of great assistance to all the students. I think coupons should begiven out more throughout the semester. I like that the in class participation is important (handing in sheets forparticipation) and ideal.'
Leadership Skills,UTSC,Winter_2018,LEC05,35,10,3.1,3.7,3.9,3.6,3.4,3.3,3.4,3.5,3,3,4,4,3.5,3,3,3,4,4,3,3,3,1.1,0.9,1,1,1.1,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Course is pretty good but each week class journals need to be submitted. I heard from my colleagues that they submitthe same journal and just change the title and it does not matter because TA and professor will not check the content. Isthis true? Also, when tickets are given out at the end of class, some people get the tickets anyways without participating.Like Professor Andrew Stark, it is better to write down the name of each student when they actually speak.It was a boring course. If this is not my program requirement, I won't take this course.I think the subject is fairly easy, but the professor made it too complicated. Overflow of information actually causedconfusion regarding rather simple matter.Professor Radhakrishnan is good at her job. She creates an environment that is friendly for students and she is easilyapproachable and accommodating.Professor was enthusiastic about course materials and encouraged student to discuss in class. Overall, the course isgood.Quality was good, Just wish the course wasn't so vague in everything especially for the exams8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentsProfessor was not even in her office during office hours and it was hard to book an extra office hour because she was""busy"".I rather talk to her one on one in her office but she suggested we do ""virtual office hour""I did not get appropriate feedback that I needed.Very goodPlease provide more assistant and examples of presentations.many potential office hours which i didnt use Wish we didnt do so much with the whole participation and journal recordingsManagement Skills Leadership Skills-S-LEC05-Phanikiran Radhakrishnan-4/6/20184/15   '"
Compensation,UTSC,Winter_2015,LEC30,18,8,2.9,2.8,3.3,2.4,2.5,2.6,3,2.9,2.4,3,3,3,2,2,2.5,"2,3",3,3,2,2,2,0.8,0.7,0.7,0.7,0.8,0.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'Some of the exercises done in class were helpful. I felt the the final project was not that helpful in terms of learning. Itdid not relate well to topics that were talked about during the lectures. IF the final assignment focused more on whatwas learned in class and asked us to apply what we learned the final assignment would have been more helpful. Itwould have been better if the marks for the homework were given in terms of numerical numbers instead of lettergrades so that students would have a better understand of how they are doing.Maybe hand back the assignments in time will be more helpful, instead of provide feedbacks for all homework at thesame time.class activities did not apply to chapter material as well as it could have been'",b''
Leadership Skills,UTSC,Winter_2017,LEC03,33,11,3,3.1,3.7,3.1,3.3,3,3.4,3.1,3.4,3,3,4,3,3,3,3,3,5,"1,5","3,5",3,1.5,1.4,1.5,1.6,1.5,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Some instructions are really vague (maybe because of the nature of the teaching materials).Assignment instructions are not precise we didn't really know what she expects from the assignments/project.There are a lot of requirements for the group project and not enough time to presentThe quality of this course material was rather confusing. The repetitive requests to upload homework at weird times &the nature of the homework did not seem to correlate to the subject matter. A lot of the course was spent on jumpingfrom topic to topic - at least according to my perception.She is a great lecturer, lots of examples and promotes class discussionHonestly the worse course I've taken in all of undergrad. The professor makes in class roleplays for the purpose of herown research, but as students, we never got much out of those exercises. The teaching style was horrible. She spends10 sentences to explain something that could be done in 1 or 2. I honestly have not learned anything new aboutleadership and the information she tried to teach us were not delivered in a retainable form. The exam is coming upand I have no idea how to study or what to study from. Overall, the other professors who teach HR are much better. Ioften think her teaching style is appropriate for high school, but not intellectual enough to sustain a university class.The professor make the lecture interesting while informative. The assignments aren't hard. But the grading of theessays (By TA) is bad. (She/He was not reading carefully)There needs to be a better way of evaluating performance in this course. While you are a very knowledgeable professor,sometimes you assume too much from students and treat us like children with your tone.8. Please comment on any assistance that was available to support your learning in thiscourse.""",b'CommentDo not knowThe library was great for researchEverything was basically lecture-based. The professor also answers emails fairly fast.'
Leadership Skills,UTSC,Winter_2015,LEC01,39,13,2.9,3.1,3.2,2.8,2.9,2.7,2.7,3.5,2.7,3,3,3.5,2.5,3,2.5,3,3,4,2,4,"2,",1.4,0.9,1.2,1.3,1.3,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'Most of the assignments are research based, not highly related to the course of leadership. The assignments are morefocused on helping you to learn how to conduct research on a topic and put up a research paper, instead of focusing onwhat we found and learn on those leadership topics. Instructions given for the assignments are vague. Not really surewhat the professor is expecting.The course was interesting and stimulating from the role plays and lectures but the course didn\'t seem to be muchabout leadership skills.Very goodThe ""coupon"" element is highly distracting. Also the professor commonly preferred to pick students who she preferredanswers from. This lead to her skipping and not choosing other students and limiting their chances for coupons. Theexample was not a one time occurrence, but rather occurred multiple times throughout the course and potentially tomore than one student. This is relevant due to the disproportionate number of coupons some students have comparedto others. Also considering the class size of 40+, it is unlikely that the professor asks for 40+ questions or at least 40+opportunities to speak. The result is that not everyone has an equal possibility to earn coupons, especially when theprofessor plays favorites. This is ultimately very discouraging to students and is an inherently unfair system. It ispossible that on average there was an adequate number of coupons per student, but I believe that this figure is mostlyoffset by the larger number of coupons that a small number of students earn. Also the seemly conflicting answers that the professor talks about the roleplay and what are the slides. It is difficult toget concise and accurate answers on what to state on the final considering the fact that the final is primarily based onthem. Considering there are two different lectures, it is difficult to know which classes are more or less applicable towhat the professor wants on the final, as it is with other discussion heavy courses. It is also confusing why there issuch a heavy emphasis on psychology for a Human Resources course in management. Despite the workshops, thenature of the writings/written material are inherently different especially in the research materials aspect. But what reallyset it apart in a negative way was, the fact that the professor expected scientific processes and methods thatmanagement students are not trained in and are not usually expected fluent in seemed unfair. The strange heavy focuson psychology made it confusing as to what is expected of students and what to make of the course. It also made thecourse too dissimilar to other managements.The professor was average She tried her best, but I feel as though a lot of the course was subjective (ie. participationmarks). I\'m the type of student that doesn\'t like to participate in class, which made going to this class increase mystress levels. Truthfully, I didn\'t learn much from this course. Will most likely learn the material on my own for the finalexam.8. Please comment on any assistance that was available to support your learning in thiscourse.'","b'CommentOffice hours + via emailWorkshops, email, office hours, readings, etc.'"
Leadership Skills,UTSC,Winter_2014,LEC02,37,11,3.7,3.3,4.2,3.5,3.7,3.7,3.1,3.5,3.2,4,3,5,4,4,4,3,2,5,4,3,5,1,1.2,1.1,1.1,1,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b'I really liked the professor, she was really nice, but I think she could have explained the assignments better.Wished the lectures were longer, with more group work as well as time spent teaching the material, theories.Having a textbook to read would have greatly helped in understanding the concepts.Also, quizzes would have helped in evaluating the understanding of the material.She is really passionate in teaching her students about the material. In fact, she doe this by going beyond her inclass responsibilities.excellent. I learnt a lot about negotiation skills that would be extremely helpful in my future career.She did a great job in trying to engage the students, especially with role plays and group work. These activities madethe class fun and interesting at the same time.8. Please comment on any assistance that was available to support your learning inthis course.'","b'CommentAssignment instructions could be explained better as well as the assignments themselves being more specific andless open ended.She is welcomes students to ask her questions after-class hours. To assist in our research projects, she hired aresearch student to help with the database, which was extremely useful.very helpfulShe is very helpful and willing to help us. She even offered us to chat with her via Skype.'"
Leadership Skills,UTSC,Winter_2018,LEC04,32,12,2.5,2.7,3.5,2.8,2.9,2.8,2.7,3.3,2.8,2,2.5,4,3,3,3,1,"1,4",5,1,1,"1,4",1.4,1.5,1.5,1.7,1.6,1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""Prof was okay but course content did not contribute to my learning. I did not learn anything that I could not have learnedmyself or anything that will benefit me in my career.The instruction was lacking in its ability to capture the minds of the students, and felt extremely pointless. There isliterally no point to this course, it is a fallacy made to either boost your GPA under the case if the professor takes a shineto you, or suffer with whatever the whims of the professor. This course provides no utility, and no learning. It is safe afterthree years at the University of Toronto, I have never a take a course which has subjected through so much confusion,pointless assignments, irrelevant journals, and an extremely poor in\xe2\x80\x93class experience. This course providesmanagement students with no training, nor attitudes, nor text which is helpful in coop's or real life scenarios. Theprofessor has built this course based on her preferences, she does not take students questions into account, herexplanation of question is poor. The professor also does not take kindly to students who are inquisitive, and questionthe learnings of the classroom, she firmly believes, it is either her way or the high way, and this belief is reflected in thegrades. Her method of counting participation in class is extremely juvenile, and does not reflect university academicstandards. Her assignments are derived from nothing which relates to management skills. There is nothing in the twoassignments which reflect management, or any of its faucets. The course seemed like a psychology course withrespect to the assignments, and honestly has taught me nothing. I strongly urge the management department at UTSC,to remove this course from its core curriculum, to remove it as a mandatory degree requirement and to teach theprofessor on how to develop an engaging course. This course teaches students absolutely nothing, and I havehonestly no learnings from this course. PLEASE REMOVE IT FROM THE CURRICULUM, STUDENTS LEARNNOTHING.Great class atmosphere as she tries to facilitate class participationHowever the material she presented class and the overall assignment styles are not interesting and fail to provide aclear learning goal. (Things are all over the place)Friendly, nice, and smart prof, but instruction and teaching method could be better8. Please comment on any assistance that was available to support your learning in thiscourse.""",b'CommentsN/AManagement Skills Leadership Skills-S-LEC04-Phanikiran Radhakrishnan-4/6/20184/15   '
Leadership Skills,UTSC,Winter_2014,LEC03,39,12,2.7,2.7,3.2,3.1,3,2.5,2.8,3.3,2.7,3,3,3,4,3,3,4,4,3,4,4,3,1.2,1.2,1.1,1.2,1.2,0.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'Having participation count for 15% of a course that is mandatory for students to take seems unfair.I felt that this class was a waste of my time and moneyn/a8. Please comment on any assistance that was available to support your learning inthis course.',b'Commentn/a'
Leadership Skills,UTSC,Winter_2017,LEC01,34,14,3.4,3.6,3.9,3.4,3.4,3.3,3.1,3.4,3.1,3.5,4,4,4,4,3.5,4,"4,5",5,4,4,4,1.2,1.2,1.3,1.4,1.2,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"b""I felt this course was poorly structured. The lectures were very repetitive and quite boring and unrelated to coursematerial. There was no textbook or assigned weekly readings. The professor was unclear on her expectations and howto prepare for the course. The classes were very dull and I did not learn much from the random group work we did eachlecture. I felt the course was not being taught at a university level. The assignments were confusing and I the prof wasvery unclear in her expectations. There was a huge gap in the prof's teaching and the TA's marking. The TA wasmarking our work at a much higher level and standard than what the professor was teaching and I felt the assignmentswere not connected to the course material. The course was about management skills and teaching us real life skillsthat we can use and apply in the business world. The assignments, particularly the group project had nothing to do withapplying leadership skills to real life. It was a heavily research based assignment that was already covered in theOrganizational Behaviour course (MGHB02) and I felt the group project should be changed and aligned with the course.Also the TA provided to office hours and we could not get in touch with her so there was no way for us to clarify theexpectations or talk to her about assignments to get a better understanding of the course material and her markingscheme. Instead the prof would just give us the assignment and we would base our assignment on what the prof saidbut the TA would mark totally differently and had a different set of expectations for us that we were unaware of.Phani is a great personHighly simulating and engaging class- passionate - increase my understanding about the management skillsThe role play was really great! I really like the professor's teaching styleuse positive reinforcement effectively.The professor is passionate about the content.8. Please comment on any assistance that was available to support your learning in thiscourse.""","b'CommentThe professor had office hours but overall, there was a lack of support during the course. I felt the TA should be moreinvolved in the course and accessible for students to clarify doubts about the assignment expectations since the TAwould be the one marking the work.Her power points, grading criteriaProfessor always answer our email when we have questionsExcellent'"
